Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
65.81,17.66,0.41,31.81,12.99,21.55,0,0
76.25,19.38,0.3,32.83,13.02,22.74,5.27,1
75.75,18.67,0.43,32.09,15.44,22.24,131.84,1
62.81,17.08,0.7,28.5,14.22,20.42,205.66,0
79.94,16.61,0.7,26.47,13.61,19.44,110.74,0
68.19,15.61,0.56,28.07,9.8,18.53,5.27,0
73.56,15.1,0.48,27.29,12.07,18.41,0,0
74.31,15.58,0.42,29.46,12.4,19.48,0,0
78.25,16.66,0.36,31.47,10.42,20.46,5.27,1
80.88,17.26,0.41,31.26,11.94,21.2,63.28,1
76.31,16.88,0.49,30.64,14.04,20.99,63.28,0
71.69,16.76,0.51,29.71,12.73,20.65,79.1,0
61.81,17.02,0.51,31.58,13.93,20.71,42.19,0
62.69,18.76,0.4,33.51,12.98,22.05,10.55,0
75.12,19.41,0.35,33.01,14.08,22.71,36.91,1
52.94,17.23,0.59,28.83,15,20.79,184.57,1
70.88,16.48,0.61,27.44,13.68,19.64,100.2,0
58.5,16.01,0.51,28.24,11.83,19.44,0,0
65.5,15.6,0.45,28.79,10.48,18.94,0,0
65.88,15.97,0.37,29.22,12.06,19.23,0,0
76.56,17.28,0.34,29.58,11.48,20.44,10.55,0
78.94,16.87,0.55,29.39,12.91,20.54,168.75,0
65.38,16.66,0.63,28.4,14.33,20.33,168.75,0
58.56,16.12,0.7,27.58,11.94,19.64,105.47,0
76.12,17.11,0.52,31.16,12.64,21.02,0,1
63.56,17.82,0.46,32.63,13.88,22.18,42.19,1
67.88,19.73,0.38,32.52,15.58,23.23,15.82,0
64.75,18.74,0.43,32.09,15.89,22.53,79.1,0
77.75,17.04,0.5,29.15,12.73,20.81,42.19,1
71.19,16.53,0.45,28.41,12.16,20.05,5.27,0
69.5,16.29,0.37,29.45,12.07,19.65,5.27,0
69.69,17.13,0.33,32.71,11.62,20.48,0,1
76.94,17.84,0.33,31.58,11.9,20.75,10.55,0
84,17.92,0.34,31.17,13.01,21.51,5.27,1
69.19,17.03,0.45,31.44,13.68,21.48,36.91,0
64.44,16.69,0.52,29.71,13.99,20.69,158.2,0
85.25,17.76,0.51,30.23,12.37,20.62,10.55,1
83.81,19.12,0.35,32.94,12.07,21.69,0,1
75.12,19.39,0.32,33.27,14.16,22.55,0,0
74.88,19.05,0.43,32.8,15.58,22.2,73.83,0
85.75,17.26,0.46,29.11,12.31,20.38,5.27,1
82,16.74,0.35,28.88,10.69,19.42,0,0
82.62,16.43,0.32,28.55,11.83,18.83,0,1
82.38,17.1,0.33,29.45,12.06,19.33,0,1
86.12,18.01,0.27,32.6,11.61,20.55,0,1
